"","RecordID","SiteID","ID","Count"
"134","BB922015816","BB92","BB922015816_F5",1
"135","BB922015816","BB92","BB922015816_F6",1
"136","BB922015817","BB92","BB922015817_F1",1
"137","BB922015817","BB92","BB922015817_F2",1
"138","BB922015817","BB92","BB922015817_F3",1
"139","BB922015817","BB92","BB922015817_F3",1
"140","BB922015817","BB92","BB922015817_F4",1
"141","BB922015817","BB92","BB922015817_F5",1
"142","BB922015817","BB92","BB922015817_F6",1
"143","BB922015817","BB92","BB922015817_F7",1
"144","MAPL2015718","MAPL","MAPL2015718_F1",1
"145","MAPL2015718","MAPL","MAPL2015718_F2",1
"146","MAPL2015816","MAPL","MAPL2015816_F1",1
"147","FRCR2015815","FRCR","FRCR2015815_F1",1
"148","CROC2015815","CROC","CROC2015815_F1",1
"149","COBE2016717","COBE","COBE2016717_F1",1
"150","COWC2016715","COWC","COWC2016715_F1",1
"151","MAPL2016820","MAPL","MAPL2016820_F1",1
"152","VRYL2016821","VRYL","VRYL2016821_F1",1
"153","ESQU2016819","ESQU","ESQU2016819_F1",1
"154","BB722016820","BB72","BB722016820_F1",1
"155","SANM2016822","SANM","SANM2016822_F1",1
"156","SJEN2016820","SJEN","SJEN2016820_F1",1
"157","SJEN2016821","SJEN","SJEN2016821_F1",1
"158","KENN2016821","KENN","KENN2016821_F1",1
"159","BB122016820","BB12","BB122016820_F1",1
"160","CROC2016716","CROC","CROC2016716_F1",1
"161","CROC2016821","CROC","CROC2016821_F1",1
"162","CROC2016822","CROC","CROC2016822_F1",1
"163","MAPL2016820","MAPL","MAPL2016820_F2",1
"164","CROC2016821","CROC","CROC2016821_F2",1
"165","MAPL2016820","MAPL","MAPL2016820_F3",1
"166","NJEN2016715","NJEN","NJEN2016715_F1",1
"167","WITT","WITT","WITT_F1",1
"168","PEDD","PEDD","PEDD_F1",1
"169","IONA2016822","IONA","IONA2016822_F1",1
"170","IONA2016822","IONA","IONA2016822_F2",1
"171","IONA2016822","IONA","IONA2016822_F3",1
"172","RBBP2016717","RBBP","RBBP2016717_F1",1
"173","WITT2016717","WITT","WITT2016717_F1",1
"174","WITT2016820","WITT","WITT2016820_F1",1
"175","WITT2016821","WITT","WITT2016821_F1",1
"176","EIDE2016716","EIDE","EIDE2016716_F1",1
"177","GRIC2016821","GRIC","GRIC2016821_F1",1
"178","BB922016820","BB92","BB922016820_F1",1
"179","BB922016821","BB92","BB922016821_F1",2
"180","BB922016821","BB92","BB922016821_F2",1
"181","ESQU2017723","ESQU","ESQU2017723_F1",1
"182","WITT2017723","WITT","WITT2017723_F1",1
"183","SHPO2017818","SHPO","SHPO2017818_F1",1
"184","BB122017819","BB12","BB122017819_F1",1
"185","ESQU2017820","ESQU","ESQU2017820_F1",1
"186","COBE2017821","COBE","COBE2017821_F1",1
"187","RBBP2017723","RBBP","RBBP2017723_F1",1
"188","CROC2017820","CROC","CROC2017820_F1",1
"189","WITT2017723","WITT","WITT2017723_F2",1
"190","SHPO2017818","SHPO","SHPO2017818_F2",1
"191","CROC2017820","CROC","CROC2017820_F2",1
"192","CROC2017820","CROC","CROC2017820_F3",1
"193","CROC2017820","CROC","CROC2017820_F4",1
"194","SANM2017722","SANM","SANM2017722_F1",1
"195","SANM2017724","SANM","SANM2017724_F1",1
"196","SDNY2017722","SDNY","SDNY2017722_F1",1
"197","NJEN2017819","NJEN","NJEN2017819_F1",1
"198","BBMB2017819","BBMB","BBMB2017819_F1",1
"199","SDNY2017820","SDNY","SDNY2017820_F1",1
