"","ID","RecordID","SiteID","counts.cleaned"
"2940","BB122014721_W3","BB122014721","BB12",0
"2941","BB122014721_W4","BB122014721","BB12",0
"2942","BB122014721_W5","BB122014721","BB12",0
"2943","BB122014721_W6","BB122014721","BB12",0
"2944","BB122014721_W7","BB122014721","BB12",600
"2945","BB122014721_W8","BB122014721","BB12",0
"2946","BB122014721_W9","BB122014721","BB12",0
"2947","BB122014721_W10","BB122014721","BB12",0
"2948","BB122014721_W11","BB122014721","BB12",0
"2949","BB122014816_W1","BB122014816","BB12",0
"2950","BB122014816_W2","BB122014816","BB12",96.6
"2951","BB122014816_W3","BB122014816","BB12",280
"2952","BB122014816_W4","BB122014816","BB12",288.4
"2953","BB122014816_W5","BB122014816","BB12",350
"2954","BB122014816_W6","BB122014816","BB12",350
"2955","BB122014816_W7","BB122014816","BB12",0
"2956","BB122014816_W8","BB122014816","BB12",0
"2957","BB122014816_W9","BB122014816","BB12",0
"2958","BB122014817_W1","BB122014817","BB12",0
"2959","BB122014817_W2","BB122014817","BB12",0
"2960","BB122014817_W3","BB122014817","BB12",0
"2961","BB122014817_W4","BB122014817","BB12",0
"2962","BB122014817_W5","BB122014817","BB12",0
"2963","BB122014817_W6","BB122014817","BB12",250
"2964","BB122014817_W7","BB122014817","BB12",0
"2965","BB122014817_W8","BB122014817","BB12",0
"2966","BB122014817_W9","BB122014817","BB12",0
"2967","BB122014817_W10","BB122014817","BB12",0
"2968","BB122014818_W1","BB122014818","BB12",0
"2969","BB122014818_W2","BB122014818","BB12",0
"2970","BB122014818_W3","BB122014818","BB12",0
"2971","BB122014818_W4","BB122014818","BB12",0
"2972","BB122014818_W5","BB122014818","BB12",0
"2973","BB122014818_W6","BB122014818","BB12",0
"2974","BB122014818_W7","BB122014818","BB12",0
"2975","BB122014818_W8","BB122014818","BB12",0
"2976","BB122014818_W9","BB122014818","BB12",0
"2977","SDNY2014719_W1","SDNY2014719","SDNY",102
"2978","SDNY2014719_W2","SDNY2014719","SDNY",98
"2979","SDNY2014719_W3","SDNY2014719","SDNY",180
"2980","SDNY2014719_W4","SDNY2014719","SDNY",275
"2981","SDNY2014719_W5","SDNY2014719","SDNY",191
"2982","SDNY2014719_W6","SDNY2014719","SDNY",215
"2983","SDNY2014719_W7","SDNY2014719","SDNY",138
"2984","SDNY2014719_W8","SDNY2014719","SDNY",291
"2985","SDNY2014720_W1","SDNY2014720","SDNY",40
"2986","SDNY2014720_W2","SDNY2014720","SDNY",0
"2987","SDNY2014720_W3","SDNY2014720","SDNY",172
"2988","SDNY2014720_W4","SDNY2014720","SDNY",83
"2989","SDNY2014720_W5","SDNY2014720","SDNY",147
"2990","SDNY2014720_W6","SDNY2014720","SDNY",180
"2991","SDNY2014720_W7","SDNY2014720","SDNY",278
"2992","SDNY2014720_W8","SDNY2014720","SDNY",89
"2993","SDNY2014816_W1","SDNY2014816","SDNY",508.117647058823
"2994","SDNY2014816_W2","SDNY2014816","SDNY",508.117647058823
"2995","SDNY2014816_W3","SDNY2014816","SDNY",508.117647058823
"2996","SDNY2014816_W4","SDNY2014816","SDNY",451.294117647059
"2997","SDNY2014816_W5","SDNY2014816","SDNY",378
"2998","SDNY2014816_W6","SDNY2014816","SDNY",355.764705882353
"2999","SDNY2014816_W7","SDNY2014816","SDNY",354.941176470588
"3000","SDNY2014816_W8","SDNY2014816","SDNY",325.294117647059
"3001","SDNY2014816_W9","SDNY2014816","SDNY",316.235294117647
"3002","SDNY2014816_W10","SDNY2014816","SDNY",105.411764705882
"3003","SDNY2014816_W11","SDNY2014816","SDNY",112
"3004","SDNY2014815_W1","SDNY2014815","SDNY",144
"3005","SDNY2014815_W2","SDNY2014815","SDNY",416
"3006","SDNY2014815_W3","SDNY2014815","SDNY",685
"3007","SDNY2014815_W4","SDNY2014815","SDNY",732
"3008","SDNY2014815_W5","SDNY2014815","SDNY",638
"3009","SDNY2014815_W6","SDNY2014815","SDNY",500
"3010","SDNY2014815_W7","SDNY2014815","SDNY",630
"3011","SDNY2014815_W8","SDNY2014815","SDNY",754
"3012","SDNY2014815_W9","SDNY2014815","SDNY",730
"3013","BBSV2014817_W1","BBSV2014817","BBSV",0
"3014","BBSV2014817_W2","BBSV2014817","BBSV",0
"3015","BBSV2014817_W3","BBSV2014817","BBSV",4
"3016","BBSV2014817_W4","BBSV2014817","BBSV",4
"3017","BBSV2014817_W5","BBSV2014817","BBSV",0
"3018","BBSV2014817_W6","BBSV2014817","BBSV",0
"3019","BBSV2014817_W7","BBSV2014817","BBSV",3
"3020","BBSV2014817_W8","BBSV2014817","BBSV",1
"3021","BBSV2014817_W9","BBSV2014817","BBSV",0
"3022","BBSV2014817_W10","BBSV2014817","BBSV",0
"3023","BBSV2014817_W11","BBSV2014817","BBSV",0
"3024","BBSV2014818_W1","BBSV2014818","BBSV",0
"3025","BBSV2014818_W2","BBSV2014818","BBSV",0
"3026","BBSV2014818_W3","BBSV2014818","BBSV",0
"3027","BBSV2014818_W4","BBSV2014818","BBSV",0
"3028","BBSV2014818_W5","BBSV2014818","BBSV",0
"3029","BBSV2014818_W6","BBSV2014818","BBSV",0
"3030","BBSV2014818_W7","BBSV2014818","BBSV",0
"3031","BBSV2014818_W8","BBSV2014818","BBSV",0
"3032","BBSV2014818_W9","BBSV2014818","BBSV",0
"3033","BBSV2014818_W10","BBSV2014818","BBSV",0
"3034","BBSV2014818_W11","BBSV2014818","BBSV",0
"3035","RBBP2014719_W1","RBBP2014719","RBBP",20
"3036","RBBP2014719_W2","RBBP2014719","RBBP",50
"3037","RBBP2014719_W3","RBBP2014719","RBBP",10
"3038","RBBP2014719_W4","RBBP2014719","RBBP",60
"3039","RBBP2014719_W5","RBBP2014719","RBBP",48
"3040","RBBP2014719_W6","RBBP2014719","RBBP",148
"3041","RBBP2014719_W7","RBBP2014719","RBBP",100
"3042","RBBP2014719_W8","RBBP2014719","RBBP",220
"3043","RBBP2014719_W9","RBBP2014719","RBBP",200
"3044","RBBP2014720_W1","RBBP2014720","RBBP",340
"3045","RBBP2014720_W2","RBBP2014720","RBBP",340
"3046","RBBP2014720_W3","RBBP2014720","RBBP",800
"3047","RBBP2014720_W4","RBBP2014720","RBBP",800
"3048","RBBP2014720_W5","RBBP2014720","RBBP",800
"3049","RBBP2014720_W6","RBBP2014720","RBBP",400
"3050","RBBP2014720_W7","RBBP2014720","RBBP",500
"3051","CROC2014816_W1","CROC2014816","CROC",1050.49668874172
"3052","CROC2014816_W2","CROC2014816","CROC",1016.9701986755
"3053","CROC2014816_W3","CROC2014816","CROC",972.26821192053
"3054","CROC2014816_W4","CROC2014816","CROC",1113.82450331126
"3055","CROC2014816_W5","CROC2014816","CROC",0
"3056","CROC2014816_W6","CROC2014816","CROC",1534.76821192053
"3057","CROC2014816_W7","CROC2014816","CROC",1337.33443708609
"3058","CROC2014816_W8","CROC2014816","CROC",1534.76821192053
"3059","CROC2014816_W9","CROC2014816","CROC",1549.66887417219
"3060","CROC2014817_W1","CROC2014817","CROC",46
"3061","CROC2014817_W2","CROC2014817","CROC",40
"3062","CROC2014817_W3","CROC2014817","CROC",44
"3063","CROC2014817_W4","CROC2014817","CROC",56
"3064","CROC2014817_W5","CROC2014817","CROC",155
"3065","CROC2014817_W6","CROC2014817","CROC",380
"3066","CROC2014817_W7","CROC2014817","CROC",445
"3067","CROC2014817_W8","CROC2014817","CROC",360
"3068","CROC2014817_W9","CROC2014817","CROC",305
"3069","CROC2014718_W1","CROC2014718","CROC",50
"3070","CROC2014718_W2","CROC2014718","CROC",310.724637681159
"3071","CROC2014718_W3","CROC2014718","CROC",262.173913043478
"3072","CROC2014718_W4","CROC2014718","CROC",276.739130434783
"3073","CROC2014718_W5","CROC2014718","CROC",290
